Unit name,Zone,Country,name,Status,Operator,Construction's begin,Commissioning Year,Decommissioning Year,Category,Energy 1,Energy 2,Energy 3,Technology,Sub Energy 1,Sub Energy 2,Sub Energy 3,Sub-techno.,CHP,CCS,Barge,Desalination,capacity,Energy Capacity (MWh),Discharge duration (hours),Last Update,Comment,City,lat,long,CAPEX (USDm),Date of financing,Production 2007 (GWh),Production 2008 (GWh),Production 2009 (GWh),Production 2010 (GWh),Production 2011 (GWh),Production 2012 (GWh),Production 2013 (GWh),Production 2014 (GWh),Production 2015 (GWh),Production 2016 (GWh),Production 2017 (GWh),Production 2018 (GWh),Production 2019 (GWh),Production 2020 (GWh),Load factor 2007 (%),Load factor 2008 (%),Load factor 2009 (%),Load factor 2010 (%),Load factor 2011 (%),Load factor 2012 (%),Load factor 2013 (%),Load factor 2014 (%),Load factor 2015 (%),Load factor 2016 (%),Load factor 2017 (%),Load factor 2018 (%),Load factor 2019 (%),Load factor 2020 (%),cluster
Zepkow,Europe,Germany,Zepkow,Operational,Enertrag,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.2,,,20/09/2021,,Bütow-Zepkow,53.32,12.48,6.5297593783669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Drense,Europe,Germany,Drense,Operational,Enertrag,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,3.0,,,20/09/2021,,Drense,53.33,13.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
Filsum,Europe,Germany,Filsum,Operational,Enertrag,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,7.2,,,20/09/2021,,"Filsum, Niedersachsen",53.25,7.61,10.882932297278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
Freiheit - I,Europe,Germany,Freiheit,Operational,Enertrag,,1999.0,,Renewables,Wind,,,On-shore,,,,,,,,,2.4,,,20/09/2021,,Brehna,51.56,12.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
Freiheit - II,Europe,Germany,Freiheit,Operational,Enertrag,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,12.0,,,20/09/2021,,Brehna,51.56,12.22,22.539762002363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
Freiheit - III,Europe,Germany,Freiheit,Operational,Enertrag,,2004.0,,Renewables,Wind,,,On-shore,,,,,,,,,3.0,,,20/09/2021,,Brehna,51.56,12.22,5.6349405005907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
Hohenfelde,Europe,Germany,Hohenfelde,Operational,Enertrag,,2005.0,,Renewables,Wind,,,On-shore,,,,,,,,,13.5,,,20/09/2021,,Hohenfelde,53.84,9.63,25.15166575371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Hoher Fläming,Europe,Germany,Hoher Fläming,Operational,Enertrag,,2007.0,,Renewables,Wind,,,On-shore,,,,,,,,,7.5,,,20/09/2021,,Hoher Fläming,53.36,13.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
Hörne,Europe,Germany,Hörne,Operational,Enertrag,,1999.0,,Renewables,Wind,,,On-shore,,,,,,,,,3.9,,,20/09/2021,,Hörne,53.82,9.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Kleisthöhe,Europe,Germany,Kleisthöhe,Operational,Enertrag,,2006.0,,Renewables,Wind,,,On-shore,,,,,,,,,16.1,,,20/09/2021,,Kleisthöhe,53.45,13.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
Klostermoor,Europe,Germany,Klostermoor,Operational,Enertrag,,1999.0,,Renewables,Wind,,,On-shore,,,,,,,,,12.0,,,20/09/2021,,Klostermoor,53.1,7.51,19.468356665131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
